	playerID	yearID_x	stint	teamID_x	lgID_x	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP	yearID_y	teamID_y	lgID_y	G_all	GS	G_batting	G_defense	G_p	G_c	G_1b	G_2b	G_3b	G_ss	G_lf	G_cf	G_rf	G_of	G_dh	G_ph	G_pr
249	cepicma01	2004	1	MON	NL	32	60	4	13	4	0	1	3.0	1.0	0.0	1	18.0	0.0	0.0	0.0	0.0	1.0	2004	MON	NL	32	12.0	32	11.0	0	0	0	0	0	0	9	0	2	11	2.0	19.0	0.0
253	chaveen01	2004	1	MON	NL	132	502	65	139	20	6	5	34.0	32.0	7.0	30	40.0	0.0	1.0	12.0	2.0	6.0	2004	MON	NL	132	122.0	132	127.0	0	0	0	0	0	0	0	127	0	127	0.0	5.0	1.0
254	chaveer01	2004	1	OAK	AL	125	475	87	131	20	0	29	77.0	6.0	3.0	95	99.0	10.0	3.0	0.0	4.0	21.0	2004	OAK	AL	125	125.0	125	125.0	0	0	0	0	125	0	1	0	0	1	0.0	0.0	0.0
255	chavera01	2004	1	HOU	NL	64	162	9	34	8	0	0	23.0	0.0	1.0	10	38.0	3.0	0.0	4.0	0.0	9.0	2004	HOU	NL	64	48.0	64	61.0	0	61	0	0	0	0	0	0	0	0	0.0	3.0	0.0
257	chench01	2004	1	LAN	NL	8	8	1	0	0	0	0	0.0	0.0	0.0	2	3.0	0.0	0.0	0.0	0.0	1.0	2004	LAN	NL	8	1.0	8	3.0	0	0	0	0	0	0	3	0	0	3	0.0	4.0	1.0
258	choatra01	2004	1	ARI	NL	74	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	ARI	NL	74	0.0	69	74.0	74	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
259	choihe01	2004	1	FLO	NL	95	281	48	76	16	1	15	40.0	1.0	0.0	52	78.0	4.0	3.0	2.0	2.0	4.0	2004	FLO	NL	95	79.0	95	89.0	0	0	89	0	0	0	0	0	0	0	0.0	7.0	0.0
265	churcry01	2004	1	MON	NL	30	63	6	11	1	0	1	6.0	0.0	0.0	7	16.0	1.0	0.0	1.0	0.0	3.0	2004	MON	NL	30	14.0	30	18.0	0	0	0	0	0	0	12	2	6	18	0.0	14.0	1.0
266	cintral01	2004	1	ARI	NL	154	564	56	148	31	7	4	49.0	3.0	3.0	31	59.0	2.0	2.0	12.0	4.0	11.0	2004	ARI	NL	154	142.0	154	148.0	0	0	0	19	1	133	0	0	0	0	0.0	8.0	0.0
267	cirilje01	2004	1	SDN	NL	33	75	12	16	3	0	1	7.0	0.0	0.0	5	14.0	0.0	0.0	0.0	1.0	0.0	2004	SDN	NL	33	14.0	33	26.0	0	0	10	4	11	0	1	0	0	1	0.0	11.0	2.0
268	clarkbr02	2004	1	MIL	NL	138	353	41	99	18	1	7	46.0	15.0	8.0	53	48.0	2.0	9.0	1.0	3.0	9.0	2004	MIL	NL	138	86.0	138	133.0	0	0	0	0	0	0	3	9	123	133	0.0	25.0	8.0
269	clarkho02	2004	1	TOR	AL	40	115	17	25	6	0	3	12.0	0.0	0.0	13	15.0	0.0	0.0	3.0	2.0	2.0	2004	TOR	AL	40	31.0	40	31.0	0	0	11	1	1	0	9	0	11	19	4.0	6.0	2.0
270	clarkje02	2004	1	CIN	NL	14	30	4	4	1	0	0	2.0	1.0	0.0	1	8.0	0.0	2.0	1.0	0.0	0.0	2004	CIN	NL	14	6.0	14	9.0	0	0	0	2	0	0	1	1	6	8	0.0	5.0	1.0
271	clarkto02	2004	1	NYA	AL	106	253	37	56	12	0	16	49.0	0.0	0.0	26	92.0	3.0	2.0	0.0	2.0	6.0	2004	NYA	AL	106	64.0	106	99.0	0	0	99	0	0	0	0	0	0	0	1.0	10.0	1.0
272	clausbr01	2004	1	CIN	NL	14	19	1	2	0	0	0	0.0	0.0	0.0	1	6.0	0.0	0.0	2.0	0.0	1.0	2004	CIN	NL	14	14.0	14	14.0	14	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
273	claytro01	2004	1	COL	NL	146	574	95	160	36	4	8	54.0	10.0	5.0	48	125.0	0.0	4.0	24.0	2.0	13.0	2004	COL	NL	146	140.0	146	144.0	0	0	0	0	0	144	0	0	0	0	0.0	3.0	1.0
274	clemema01	2004	1	CHN	NL	30	55	2	8	1	0	0	2.0	0.0	0.0	1	29.0	0.0	0.0	4.0	1.0	0.0	2004	CHN	NL	30	30.0	29	30.0	30	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
275	clemero02	2004	1	HOU	NL	33	72	1	12	1	0	0	7.0	0.0	0.0	3	24.0	0.0	0.0	3.0	0.0	2.0	2004	HOU	NL	33	33.0	32	33.0	33	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
276	clossjd01	2004	1	COL	NL	36	113	5	36	6	0	1	10.0	0.0	0.0	6	22.0	0.0	2.0	3.0	0.0	3.0	2004	COL	NL	36	29.0	36	32.0	0	32	0	0	0	0	0	0	0	0	0.0	6.0	0.0
277	colbrgr01	2004	1	ARI	NL	20	27	1	3	0	0	0	1.0	0.0	0.0	1	5.0	0.0	0.0	0.0	0.0	0.0	2004	ARI	NL	20	3.0	20	2.0	0	0	2	0	0	0	0	0	0	0	2.0	16.0	0.0
278	collilo01	2004	1	PHI	NL	32	36	7	10	1	0	1	4.0	1.0	0.0	5	10.0	0.0	1.0	0.0	0.0	2.0	2004	PHI	NL	32	4.0	32	9.0	0	0	0	0	1	0	8	0	0	8	0.0	22.0	3.0
279	colomje01	2004	1	TBA	AL	33	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	1.0	0.0	0.0	2004	TBA	AL	33	0.0	6	33.0	33	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
280	colonba01	2004	1	ANA	AL	34	3	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	ANA	AL	34	33.0	3	34.0	34	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
283	coninje01	2004	1	FLO	NL	140	521	55	146	35	1	14	83.0	5.0	5.0	48	78.0	3.0	2.0	2.0	6.0	15.0	2004	FLO	NL	140	138.0	140	138.0	0	0	57	0	0	0	83	0	0	83	0.0	2.0	0.0
284	contija01	2004	1	TEX	AL	22	55	6	10	3	0	0	4.0	0.0	2.0	5	19.0	0.0	0.0	0.0	0.0	0.0	2004	TEX	AL	22	14.0	22	21.0	0	0	0	0	0	0	1	20	0	21	0.0	1.0	1.0
285	contrjo01	2004	1	NYA	AL	18	8	0	0	0	0	0	0.0	0.0	0.0	0	5.0	0.0	0.0	0.0	0.0	0.0	2004	CHA	AL	13	13.0	0	13.0	13	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
289	cookaa01	2004	1	COL	NL	16	34	1	4	0	0	0	1.0	0.0	0.0	1	10.0	0.0	0.0	2.0	0.0	1.0	2004	COL	NL	16	16.0	15	16.0	16	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
290	coopebr01	2004	1	SFN	NL	5	3	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	SFN	NL	5	2.0	5	5.0	5	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
291	coraal01	2004	1	LAN	NL	138	405	47	107	9	4	10	47.0	3.0	4.0	47	41.0	10.0	18.0	12.0	2.0	9.0	2004	LAN	NL	138	122.0	138	138.0	0	0	0	138	0	0	0	0	0	0	0.0	5.0	1.0
293	cordech01	2004	1	MON	NL	69	2	0	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	1.0	0.0	0.0	2004	MON	NL	69	0.0	67	69.0	69	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
295	cordewi01	2004	1	FLO	NL	27	66	6	13	3	0	1	6.0	1.0	0.0	3	19.0	0.0	2.0	0.0	1.0	2.0	2004	FLO	NL	27	14.0	27	16.0	0	0	13	0	0	0	3	0	0	3	0.0	11.0	0.0
296	coreyma02	2004	1	PIT	NL	31	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	PIT	NL	31	0.0	27	31.0	31	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
297	cormila01	2004	1	ARI	NL	17	8	1	2	1	0	0	1.0	0.0	0.0	1	2.0	0.0	0.0	1.0	0.0	0.0	2004	ARI	NL	17	5.0	17	17.0	17	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
298	cormirh01	2004	1	PHI	NL	84	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	PHI	NL	84	0.0	79	84.0	84	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
300	correke01	2004	1	SFN	NL	12	3	1	1	1	0	0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0	0.0	2004	SFN	NL	12	1.0	12	12.0	12	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
301	cotahu01	2004	1	PIT	NL	36	66	10	15	1	1	5	8.0	0.0	0.0	3	20.0	1.0	1.0	0.0	0.0	1.0	2004	PIT	NL	36	13.0	36	24.0	0	24	0	0	0	0	0	0	0	0	0.0	12.0	1.0
302	cottsne01	2004	1	CHA	AL	56	1	0	1	1	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	CHA	AL	56	1.0	3	56.0	56	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
303	counscr01	2004	1	MIL	NL	140	473	59	114	19	5	2	23.0	17.0	4.0	59	88.0	9.0	5.0	5.0	3.0	5.0	2004	MIL	NL	140	128.0	140	130.0	0	0	0	0	1	129	0	0	0	0	0.0	9.0	2.0
305	crawfca02	2004	1	TBA	AL	152	626	104	185	26	19	11	55.0	59.0	15.0	35	81.0	2.0	1.0	4.0	6.0	2.0	2004	TBA	AL	152	145.0	152	145.0	0	0	0	0	0	0	122	30	0	145	5.0	4.0	1.0
306	credejo01	2004	1	CHA	AL	144	490	67	117	25	0	21	69.0	1.0	2.0	34	81.0	0.0	10.0	4.0	5.0	14.0	2004	CHA	AL	144	142.0	144	144.0	0	0	0	0	144	0	0	0	0	0	0.0	0.0	0.0
307	crespce01	2004	1	BOS	AL	52	79	6	13	2	1	0	2.0	2.0	0.0	0	20.0	0.0	0.0	0.0	0.0	1.0	2004	BOS	AL	52	16.0	52	52.0	0	0	0	11	0	27	10	7	2	19	0.0	3.0	8.0
309	crispco01	2004	1	CLE	AL	139	491	78	146	24	2	15	71.0	20.0	13.0	36	69.0	4.0	0.0	9.0	2.0	8.0	2004	CLE	AL	139	124.0	139	128.0	0	0	0	0	0	0	37	94	0	128	6.0	6.0	5.0
310	crosbbo01	2004	1	OAK	AL	151	545	70	130	34	1	22	64.0	7.0	3.0	58	141.0	0.0	9.0	5.0	6.0	20.0	2004	OAK	AL	151	151.0	151	151.0	0	0	0	0	0	151	0	0	0	0	0.0	0.0	0.0
311	crosbbu01	2004	1	NYA	AL	55	53	8	8	2	0	2	7.0	2.0	0.0	2	13.0	0.0	1.0	2.0	0.0	0.0	2004	NYA	AL	55	6.0	55	45.0	0	0	0	0	0	0	11	12	25	45	2.0	6.0	15.0
313	crozier01	2004	1	TOR	AL	14	33	5	5	2	0	2	4.0	0.0	0.0	6	19.0	0.0	0.0	0.0	0.0	0.0	2004	TOR	AL	14	10.0	14	5.0	0	0	5	0	0	0	0	0	0	0	8.0	3.0	0.0
315	cruzde01	2004	1	SFN	NL	127	397	46	116	30	2	7	55.0	1.0	3.0	17	32.0	6.0	3.0	8.0	6.0	11.0	2004	SFN	NL	127	95.0	127	107.0	0	0	0	2	1	104	0	0	0	0	0.0	24.0	1.0
316	cruzja01	2004	1	CIN	NL	96	147	22	33	8	0	3	28.0	0.0	0.0	16	43.0	2.0	4.0	0.0	0.0	5.0	2004	CIN	NL	96	22.0	96	35.0	0	0	6	0	0	0	4	0	26	29	2.0	67.0	1.0
317	cruzjo02	2004	1	TBA	AL	153	545	76	132	25	8	21	78.0	11.0	6.0	76	117.0	8.0	2.0	5.0	8.0	6.0	2004	TBA	AL	153	148.0	153	152.0	0	0	0	0	0	0	0	1	151	152	0.0	3.0	1.0
318	cruzju02	2004	1	ATL	NL	50	5	1	1	1	0	0	0.0	0.0	0.0	1	3.0	0.0	0.0	0.0	0.0	0.0	2004	ATL	NL	50	0.0	47	50.0	50	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
320	cuddymi01	2004	1	MIN	AL	115	339	49	89	22	1	12	45.0	5.0	5.0	37	74.0	2.0	3.0	2.0	1.0	8.0	2004	MIN	AL	115	90.0	115	106.0	0	0	10	48	43	0	7	0	8	15	5.0	12.0	3.0
321	cummimi01	2004	1	TBA	AL	22	54	10	15	4	0	2	7.0	1.0	0.0	5	12.0	0.0	2.0	0.0	0.0	0.0	2004	TBA	AL	22	12.0	22	2.0	0	0	0	0	0	0	2	0	0	2	12.0	10.0	0.0
323	custja01	2004	1	BAL	AL	1	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	BAL	AL	1	0.0	1	0.0	0	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0
324	daiglca01	2004	1	ARI	NL	11	17	2	2	2	0	0	0.0	0.0	0.0	0	7.0	0.0	0.0	1.0	0.0	1.0	2004	ARI	NL	11	10.0	11	10.0	10	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0
325	dallibr01	2004	1	SFN	NL	20	43	8	12	2	0	1	7.0	0.0	1.0	4	7.0	0.0	1.0	0.0	1.0	0.0	2004	SFN	NL	20	7.0	20	14.0	0	0	0	9	6	0	0	0	0	0	0.0	8.0	1.0
327	damonjo01	2004	1	BOS	AL	150	621	123	189	35	6	20	94.0	19.0	8.0	76	71.0	1.0	2.0	0.0	3.0	8.0	2004	BOS	AL	150	146.0	150	148.0	0	0	0	0	0	0	0	148	0	148	1.0	3.0	1.0
332	daubabr01	2004	1	BOS	AL	30	75	9	17	8	0	2	8.0	0.0	0.0	10	21.0	0.0	1.0	0.0	0.0	1.0	2004	BOS	AL	30	19.0	30	21.0	0	0	14	0	0	0	6	0	1	7	0.0	9.0	1.0
333	davanje02	2004	1	ANA	AL	108	285	41	79	11	4	7	34.0	18.0	3.0	46	54.0	2.0	0.0	1.0	5.0	2.0	2004	ANA	AL	108	70.0	108	81.0	0	0	0	0	0	0	24	39	29	81	19.0	18.0	2.0
334	davisbe01	2004	1	SEA	AL	14	33	1	3	0	0	0	2.0	0.0	0.0	3	9.0	0.0	0.0	0.0	1.0	3.0	2004	CHA	AL	54	44.0	54	53.0	0	53	0	0	0	0	0	0	0	0	0.0	1.0	1.0
338	davisdo02	2004	1	MIL	NL	34	64	0	1	0	0	0	0.0	0.0	0.0	1	43.0	0.0	0.0	6.0	0.0	1.0	2004	MIL	NL	34	34.0	33	34.0	34	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
339	davisja02	2004	1	CLE	AL	26	5	1	1	0	0	1	1.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	2004	CLE	AL	26	19.0	2	26.0	26	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
340	davisjj01	2004	1	PIT	NL	25	35	4	5	1	0	0	3.0	2.0	0.0	4	10.0	0.0	0.0	0.0	1.0	0.0	2004	PIT	NL	25	9.0	25	17.0	0	0	0	0	0	0	5	0	12	17	0.0	7.0	3.0
342	dayza01	2004	1	MON	NL	19	29	1	1	0	0	1	1.0	0.0	0.0	0	17.0	0.0	0.0	3.0	0.0	0.0	2004	MON	NL	19	19.0	17	19.0	19	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
343	dejeami01	2004	1	BAL	AL	37	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	BAL	AL	37	0.0	4	37.0	37	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
347	dejesda01	2004	1	KCA	AL	96	363	58	104	15	3	7	39.0	8.0	11.0	33	53.0	0.0	9.0	8.0	0.0	6.0	2004	KCA	AL	96	92.0	96	94.0	0	0	0	0	0	0	4	85	6	94	0.0	1.0	1.0
348	delarjo01	2004	1	MIL	NL	5	6	0	0	0	0	0	0.0	0.0	0.0	0	6.0	0.0	0.0	1.0	0.0	0.0	2004	MIL	NL	5	5.0	5	5.0	5	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
349	delgaca01	2004	1	TOR	AL	128	458	74	123	26	0	32	99.0	0.0	1.0	69	115.0	12.0	13.0	0.0	11.0	11.0	2004	TOR	AL	128	128.0	128	120.0	0	0	120	0	0	0	0	0	0	0	8.0	0.0	0.0
350	delgawi01	2004	1	NYN	NL	42	130	11	38	4	1	2	13.0	1.0	0.0	15	29.0	3.0	0.0	2.0	0.0	1.0	2004	NYN	NL	42	37.0	42	39.0	0	0	0	0	0	39	0	0	0	0	0.0	4.0	0.0
351	delluda01	2004	1	TEX	AL	107	331	59	80	13	1	17	61.0	9.0	4.0	47	88.0	3.0	5.0	1.0	3.0	4.0	2004	TEX	AL	107	93.0	107	94.0	0	0	0	0	0	0	84	7	6	94	9.0	11.0	0.0
353	dempsry01	2004	1	CHN	NL	23	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	CHN	NL	23	0.0	23	23.0	23	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
356	derosma01	2004	1	ATL	NL	118	309	33	74	16	0	3	31.0	1.0	3.0	23	53.0	3.0	3.0	4.0	6.0	6.0	2004	ATL	NL	118	71.0	118	87.0	0	0	0	5	72	11	3	0	0	3	0.0	32.0	5.0
357	desseel01	2004	1	ARI	NL	38	18	0	3	2	0	0	0.0	0.0	0.0	3	3.0	0.0	0.0	4.0	0.0	1.0	2004	ARI	NL	38	9.0	36	38.0	38	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
361	devordo01	2004	1	ARI	NL	50	107	5	24	3	2	3	13.0	1.0	1.0	7	31.0	0.0	0.0	0.0	0.0	1.0	2004	ARI	NL	50	22.0	50	31.0	0	0	0	0	0	0	18	1	15	31	0.0	19.0	3.0
362	diazei01	2004	1	MON	NL	55	139	9	31	6	1	1	11.0	2.0	0.0	11	10.0	3.0	4.0	2.0	3.0	6.0	2004	MON	NL	55	37.0	55	45.0	0	44	0	0	1	0	0	0	0	0	0.0	10.0	1.0
363	diazfe01	2004	1	CHA	AL	18	1	0	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2004	CHA	AL	18	7.0	1	18.0	18	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
364	diazma02	2004	1	TBA	AL	10	21	3	4	1	1	1	3.0	0.0	0.0	1	6.0	0.0	2.0	0.0	0.0	0.0	2004	TBA	AL	10	7.0	10	4.0	0	0	0	0	0	0	3	0	1	4	4.0	3.0	0.0
365	diazvi01	2004	1	NYN	NL	15	51	8	15	3	0	3	8.0	0.0	0.0	1	15.0	0.0	1.0	0.0	0.0	3.0	2004	NYN	NL	15	12.0	15	14.0	0	0	0	0	0	0	0	0	14	14	0.0	2.0	0.0
367	difelmi01	2004	1	DET	AL	13	22	3	3	0	1	0	2.0	0.0	0.0	3	3.0	0.0	0.0	0.0	0.0	3.0	2004	CHN	NL	4	0.0	4	4.0	0	4	0	0	0	0	0	0	0	0	0.0	0.0	0.0
373	dobbsgr01	2004	1	SEA	AL	18	53	4	12	1	0	1	9.0	0.0	0.0	1	14.0	0.0	1.0	0.0	1.0	0.0	2004	SEA	AL	18	13.0	18	14.0	0	0	0	0	14	0	0	0	0	0	1.0	5.0	0.0
374	dohmasc01	2004	1	COL	NL	41	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	1.0	1.0	0.0	0.0	2004	COL	NL	41	0.0	39	41.0	41	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
375	dominan01	2004	1	BOS	AL	7	11	0	2	0	0	0	1.0	0.0	0.0	0	3.0	0.0	0.0	0.0	0.0	0.0	2004	BOS	AL	7	1.0	7	6.0	0	1	5	0	0	0	0	0	0	0	0.0	3.0	0.0
383	downssc01	2004	1	MON	NL	12	15	1	1	0	0	0	0.0	0.0	0.0	1	7.0	0.0	0.0	6.0	0.0	0.0	2004	MON	NL	12	12.0	11	12.0	12	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
384	dranske01	2004	1	CHA	AL	15	30	5	10	0	0	0	4.0	0.0	0.0	0	6.0	0.0	0.0	0.0	0.0	0.0	2004	CHA	AL	15	5.0	15	10.0	0	0	0	0	3	8	0	0	0	0	1.0	5.0	2.0
385	dreifda01	2004	1	LAN	NL	60	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	LAN	NL	60	0.0	55	60.0	60	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
386	dresery01	2004	1	TEX	AL	34	4	1	2	1	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	2004	TEX	AL	34	33.0	2	34.0	34	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
387	drewjd01	2004	1	ATL	NL	145	518	118	158	28	8	31	93.0	12.0	3.0	118	116.0	2.0	5.0	1.0	3.0	7.0	2004	ATL	NL	145	143.0	145	142.0	0	0	0	0	0	0	0	8	138	142	1.0	1.0	1.0
388	drewti01	2004	1	ATL	NL	12	2	1	0	0	0	0	0.0	0.0	0.0	1	1.0	0.0	0.0	0.0	0.0	0.0	2004	ATL	NL	12	0.0	12	11.0	11	0	0	0	0	0	0	0	0	0	0.0	0.0	1.0
389	drisktr01	2004	1	COL	NL	5	1	0	0	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	COL	NL	5	0.0	5	5.0	5	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
390	duboija01	2004	1	CHN	NL	20	23	2	5	0	1	1	5.0	0.0	0.0	1	7.0	0.0	0.0	0.0	1.0	0.0	2004	CHN	NL	20	2.0	20	6.0	0	0	1	0	0	0	1	0	4	5	0.0	16.0	0.0
391	duboser01	2004	1	BAL	AL	14	2	0	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	2004	BAL	AL	14	14.0	1	14.0	14	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
393	duckwbr01	2004	1	HOU	NL	19	9	1	2	0	0	0	1.0	0.0	0.0	1	2.0	0.0	0.0	0.0	0.0	0.0	2004	HOU	NL	19	6.0	18	19.0	19	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
394	duncaje01	2004	1	NYN	NL	13	15	2	1	0	0	0	1.0	3.0	0.0	1	5.0	0.0	0.0	1.0	0.0	0.0	2004	NYN	NL	13	2.0	13	4.0	0	0	0	0	0	0	2	2	0	4	0.0	8.0	3.0
395	dunnad01	2004	1	CIN	NL	161	568	105	151	34	0	46	102.0	6.0	1.0	108	195.0	11.0	5.0	0.0	0.0	8.0	2004	CIN	NL	161	156.0	161	158.0	0	0	10	0	0	0	156	0	0	156	1.0	2.0	0.0
397	durazer01	2004	1	OAK	AL	142	511	80	164	35	1	22	88.0	3.0	2.0	56	104.0	9.0	9.0	0.0	2.0	7.0	2004	OAK	AL	142	128.0	142	4.0	0	0	4	0	0	0	0	0	0	0	132.0	13.0	0.0
403	durhara01	2004	1	SFN	NL	120	471	95	133	28	8	17	65.0	10.0	4.0	57	60.0	3.0	6.0	4.0	4.0	6.0	2004	SFN	NL	120	115.0	120	118.0	0	0	0	118	0	0	0	0	0	0	0.0	5.0	0.0
404	durritr01	2004	1	MIL	NL	53	82	13	19	2	3	2	4.0	4.0	0.0	4	23.0	0.0	0.0	1.0	0.0	1.0	2004	MIL	NL	53	11.0	53	17.0	1	0	0	6	11	0	0	0	0	0	1.0	30.0	9.0
405	dyeje01	2004	1	OAK	AL	137	532	87	141	29	4	23	80.0	4.0	2.0	49	128.0	4.0	4.0	0.0	5.0	16.0	2004	OAK	AL	137	134.0	137	134.0	0	0	0	0	0	0	0	0	134	134	2.0	2.0	0.0
406	easleda01	2004	1	FLO	NL	98	223	26	53	20	1	9	43.0	4.0	1.0	24	36.0	1.0	8.0	0.0	2.0	6.0	2004	FLO	NL	98	48.0	98	66.0	0	0	18	25	6	15	0	0	5	5	3.0	35.0	2.0
407	eatonad01	2004	1	SDN	NL	38	64	9	13	7	0	0	8.0	2.0	0.0	6	16.0	0.0	1.0	5.0	0.0	1.0	2004	SDN	NL	38	33.0	36	33.0	33	0	0	0	0	0	0	0	0	0	0.0	5.0	0.0
408	eckstda01	2004	1	ANA	AL	142	566	92	156	24	1	2	35.0	16.0	5.0	42	49.0	1.0	13.0	14.0	2.0	11.0	2004	ANA	AL	142	138.0	142	138.0	0	0	0	0	0	138	0	0	0	0	1.0	3.0	0.0
409	edmonji01	2004	1	SLN	NL	153	498	102	150	38	3	42	111.0	8.0	3.0	101	150.0	12.0	5.0	0.0	8.0	4.0	2004	SLN	NL	153	143.0	153	147.0	0	0	1	0	0	0	0	146	0	146	1.0	6.0	0.0
410	eischjo01	2004	1	MON	NL	22	3	2	2	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	1.0	0.0	0.0	2004	MON	NL	22	0.0	22	21.0	21	0	0	0	0	0	0	0	0	0	0.0	1.0	0.0
411	elartsc01	2004	1	COL	NL	8	9	1	2	0	0	0	0.0	0.0	0.0	1	2.0	0.0	0.0	4.0	0.0	0.0	2004	CLE	AL	21	21.0	2	21.0	21	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
415	eldreca01	2004	1	SLN	NL	52	5	0	0	0	0	0	0.0	0.0	0.0	0	3.0	0.0	0.0	1.0	0.0	1.0	2004	SLN	NL	52	0.0	51	52.0	52	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
416	ellisja01	2004	1	SFN	NL	13	4	4	2	0	0	1	3.0	2.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	SFN	NL	13	0.0	13	4.0	0	0	0	0	0	0	0	4	0	4	0.0	1.0	9.0
418	encarju01	2004	1	LAN	NL	86	324	42	76	18	1	13	43.0	3.0	3.0	21	53.0	0.0	4.0	0.0	1.0	9.0	2004	FLO	NL	49	46.0	49	48.0	0	0	0	0	0	0	0	0	48	48	0.0	1.0	0.0
423	ensbemo01	2004	1	HOU	NL	131	411	51	113	20	3	10	66.0	6.0	4.0	36	46.0	1.0	0.0	5.0	4.0	17.0	2004	HOU	NL	131	103.0	131	118.0	0	0	0	0	118	1	0	0	0	0	0.0	19.0	1.0
424	erickma01	2004	1	MIL	NL	4	6	0	1	0	0	0	0.0	0.0	0.0	0	1.0	0.0	0.0	0.0	0.0	0.0	2004	MIL	NL	4	1.0	4	2.0	0	0	0	1	0	1	0	0	0	0	0.0	2.0	0.0
425	ericksc01	2004	1	NYN	NL	2	3	0	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	0.0	0.0	0.0	0.0	2004	NYN	NL	2	2.0	2	2.0	2	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0
429	erstada01	2004	1	ANA	AL	125	495	79	146	29	1	7	69.0	16.0	1.0	37	74.0	1.0	4.0	3.0	4.0	9.0	2004	ANA	AL	125	124.0	125	124.0	0	0	124	0	0	0	0	0	0	0	0.0	0.0	1.0
430	escalfe01	2004	1	NYA	AL	5	8	1	0	0	0	0	0.0	0.0	0.0	0	2.0	0.0	1.0	0.0	0.0	0.0	2004	NYA	AL	5	2.0	5	5.0	0	0	0	0	1	4	0	0	0	0	0.0	1.0	0.0
